EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,AvailableCohorts,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanDNBR,MeanSeverity,TotalBiomassMortality,NumberCellsSeverity1,NumberCellsSeverity2,NumberCellsSeverity3,NumberCellsSeverity4,NumberCellsSeverity5,
197, 16, 700, 427, 22.5885188714432, 306, 413, Accidental, 2, 99, 2116, 2739, 13.4572070909091, 14.6148447117531, 40.1443403636363, 0, 24.93, 0.334105128807962, 719.58, 0, 1197288, 19, 29, 11, 7, 33, 
198, 16, 939, 172, 14.9508979918512, 339, 294, Accidental, 2, 42, 1086, 1318, 13.2569105142857, 12.3510510304917, 291.907479642857, 0, 15.03, 0.31518985886785, 405.1, 0, 330242, 11, 4, 6, 12, 9, 
199, 16, 794, 326, 26.6587021441397, 350, 397, Accidental, 1, 1, 29, 29, 23.5498536, 21.8913308840159, 319.596256, NaN, 26.66, NaN, 2000, 0, 18017, 0, 0, 0, 0, 1, 
200, 16, 795, 240, 20.3122233414959, 361, 318, Accidental, 1, 6, 208, 208, 21.4869996, 20.4790280079722, 78.576809, 0, 20.31, 0.325589321757295, 1863.5, 0, 126604, 0, 0, 0, 0, 6, 
201, 16, 687, 292, 36.145462419492, 363, 515, Accidental, 1, 38, 751, 751, 33.161562, 32.3537562996318, 106.591653, 0, 36.15, 0.357290404008291, 2000, 0, 503965, 0, 0, 0, 0, 38, 
202, 17, 860, 48, 4.83850925058943, 32, 194, Accidental, 3, 44, 1383, 1551, 13.7134971, 13.7860643447736, 55.3366705454545, 0, 5.16, 0.296195263226226, 593.57, 0, 395198, 2, 7, 8, 10, 17, 
203, 17, 739, 213, 9.80639835337568, 49, 187, Accidental, 1, 20, 395, 395, 24.1016616, 22.615133281384, 0.392924999999991, 0, 9.81, 0.305381958667325, 1971.3, 0, 301053, 0, 0, 0, 0, 20, 
204, 17, 767, 152, 5.69152735850624, 52, 125, Accidental, 3, 61, 1646, 1994, 11.9035626491803, 12.4206609730391, 214.386487393443, 0, 5.14, 0.296710724013455, 581.15, 0, 589436, 10, 13, 13, 8, 17, 
205, 17, 691, 142, 12.4387235087738, 83, 219, Accidental, 1, 4, 24, 24, 17.4335544, 18.4686578024746, 14.558029, 0, 12.44, 0.310379134351176, 1245.75, 0, 33751, 0, 0, 0, 2, 2, 
206, 17, 766, 284, 10.1930176118858, 91, 198, Accidental, 2, 48, 1624, 1634, 18.1502784, 18.5802726980477, 142.946781, 0, 10.26, 0.30618487596922, 1662.31, 0, 969851, 0, 0, 0, 3, 45, 
207, 17, 1005, 100, 15.1082745020823, 134, 253, Accidental, 1, 25, 580, 716, 10.0388556, 10.012922813233, 25.237649, 0, 15.11, 0.315492566774436, 382.04, 0, 176133, 4, 9, 5, 4, 3, 
208, 17, 899, 102, 18.8477919109348, 147, 289, Lightning, 3, 110, 2661, 3275, 10.5816781963636, 11.6792062177403, 297.260778354546, 0, 18.77, 0.322623811488256, 459.78, 0, 904547, 21, 22, 33, 12, 22, 
209, 17, 844, 181, 14.8016995275292, 167, 249, Lightning, 1, 1, 43, 68, 8.003736, 8.98501078107845, 277.521022, NaN, 14.8, NaN, 255, 0, 13258, 0, 1, 0, 0, 0, 
210, 17, 746, 263, 20.9898207888878, 170, 348, Accidental, 2, 56, 750, 990, 13.6486038857143, 14.6596962378188, 270.554564428571, 0, 21.08, 0.326916262370341, 454.71, 0, 428877, 11, 7, 13, 14, 11, 
211, 17, 690, 117, 16.8115748334643, 179, 274, Accidental, 1, 43, 407, 783, 8.43105457674418, 7.58251208505284, 101.361418744186, 0, 16.78, 0.318778787994062, 226.02, 0, 263917, 24, 17, 0, 1, 1, 
212, 17, 714, 431, 17.020429660767, 206, 277, Accidental, 1, 18, 328, 386, 13.1770224, 13.9783424479542, 86.221828, 0, 17.02, 0.319182989005649, 669.61, 0, 186101, 1, 6, 7, 0, 4, 
213, 17, 749, 314, 16.5156061996479, 212, 270, Accidental, 1, 15, 121, 272, 6.755508, 6.27643715637377, 251.141068, 0, 16.52, 0.318206460645992, 156.2, 0, 57799, 14, 1, 0, 0, 0, 
214, 17, 734, 511, 18.6886476755474, 225, 297, Accidental, 1, 13, 165, 348, 10.6286364, 7.15397407565272, 27.166013, 0, 18.69, 0.322421255228262, 148.85, 0, 72831, 11, 2, 0, 0, 0, 
215, 17, 714, 226, 29.7819912082329, 253, 436, Accidental, 1, 14, 174, 226, 16.5316752, 17.1507013027667, 262.063662, 0, 29.78, 0.344379867607258, 875.64, 0, 102850, 2, 3, 1, 0, 8, 
