SimulationYear,DayOfYear,AttemptedNumberIgnitions,FireWeatherIndex,IgnitionType,
1, 181, 0, 17.3980978923919, Lightning, 
1, 181, 1, 17.3980978923919, Rx, 
1, 182, 5, 16.8666361646731, Accidental, 
1, 182, 0, 16.8666361646731, Lightning, 
1, 182, 1, 16.8666361646731, Rx, 
1, 183, 5, 15.9977884050154, Accidental, 
1, 183, 0, 15.9977884050154, Lightning, 
1, 183, 1, 15.9977884050154, Rx, 
1, 184, 4, 16.0502066849934, Accidental, 
1, 184, 1, 16.0502066849934, Rx, 
1, 185, 4, 15.6326049503762, Accidental, 
1, 185, 0, 15.6326049503762, Lightning, 
1, 185, 1, 15.6326049503762, Rx, 
1, 186, 5, 18.1893634396069, Accidental, 
1, 186, 0, 18.1893634396069, Lightning, 
1, 186, 1, 18.1893634396069, Rx, 
1, 187, 4, 19.0768716053023, Accidental, 
1, 187, 0, 19.0768716053023, Lightning, 
1, 187, 1, 19.0768716053023, Rx, 
1, 188, 5, 12.7335242003493, Accidental, 
1, 188, 0, 12.7335242003493, Lightning, 
1, 189, 5, 15.8864857535028, Accidental, 
1, 189, 1, 15.8864857535028, Rx, 
1, 190, 5, 17.2016804316861, Accidental, 
1, 190, 0, 17.2016804316861, Lightning, 
1, 190, 1, 17.2016804316861, Rx, 
1, 191, 5, 18.0207640887539, Accidental, 
1, 191, 1, 18.0207640887539, Rx, 
1, 192, 5, 17.9139596709147, Accidental, 
1, 192, 0, 17.9139596709147, Lightning, 
1, 192, 1, 17.9139596709147, Rx, 
1, 193, 5, 19.2511926351503, Accidental, 
1, 193, 0, 19.2511926351503, Lightning, 
1, 193, 1, 19.2511926351503, Rx, 
1, 194, 4, 20.2763846902447, Accidental, 
1, 194, 1, 20.2763846902447, Rx, 
1, 195, 5, 17.6308756281991, Accidental, 
1, 195, 0, 17.6308756281991, Lightning, 
1, 195, 1, 17.6308756281991, Rx, 
1, 196, 4, 20.3844458797453, Accidental, 
1, 196, 0, 20.3844458797453, Lightning, 
1, 196, 1, 20.3844458797453, Rx, 
1, 197, 5, 19.9827261556671, Accidental, 
1, 197, 0, 19.9827261556671, Lightning, 
1, 197, 1, 19.9827261556671, Rx, 
1, 198, 5, 18.359143249679, Accidental, 
1, 198, 0, 18.359143249679, Lightning, 
1, 198, 1, 18.359143249679, Rx, 
1, 199, 5, 17.7951644015678, Accidental, 
1, 199, 0, 17.7951644015678, Lightning, 
1, 199, 1, 17.7951644015678, Rx, 
1, 200, 4, 17.9545020529666, Accidental, 
1, 200, 0, 17.9545020529666, Lightning, 
1, 200, 1, 17.9545020529666, Rx, 
1, 201, 5, 17.32659689582, Accidental, 
1, 201, 1, 17.32659689582, Rx, 
1, 202, 5, 15.9822975260744, Accidental, 
1, 202, 1, 15.9822975260744, Rx, 
1, 203, 5, 14.5882287994793, Accidental, 
1, 203, 0, 14.5882287994793, Lightning, 
1, 204, 5, 14.6965382761749, Accidental, 
1, 204, 0, 14.6965382761749, Lightning, 
1, 205, 5, 15.0546949937005, Accidental, 
1, 205, 0, 15.0546949937005, Lightning, 
1, 205, 1, 15.0546949937005, Rx, 
1, 206, 5, 16.7309514411194, Accidental, 
1, 206, 0, 16.7309514411194, Lightning, 
1, 206, 1, 16.7309514411194, Rx, 
1, 207, 5, 15.7312099954146, Accidental, 
1, 207, 0, 15.7312099954146, Lightning, 
1, 207, 1, 15.7312099954146, Rx, 
1, 208, 5, 17.412768673642, Accidental, 
1, 208, 0, 17.412768673642, Lightning, 
1, 208, 1, 17.412768673642, Rx, 
1, 209, 5, 20.3143371635091, Accidental, 
1, 209, 0, 20.3143371635091, Lightning, 
1, 209, 1, 20.3143371635091, Rx, 
1, 210, 5, 18.920793249969, Accidental, 
1, 210, 0, 18.920793249969, Lightning, 
1, 210, 1, 18.920793249969, Rx, 
1, 211, 5, 16.7005172426354, Accidental, 
1, 211, 0, 16.7005172426354, Lightning, 
1, 211, 1, 16.7005172426354, Rx, 
1, 212, 5, 14.1715918574283, Accidental, 
1, 213, 5, 13.9557966494215, Accidental, 
1, 213, 0, 13.9557966494215, Lightning, 
1, 214, 5, 15.2416781196901, Accidental, 
1, 214, 0, 15.2416781196901, Lightning, 
1, 214, 1, 15.2416781196901, Rx, 
1, 215, 4, 18.0834818717938, Accidental, 
1, 215, 0, 18.0834818717938, Lightning, 
1, 215, 1, 18.0834818717938, Rx, 
1, 216, 4, 21.9867116630318, Accidental, 
1, 216, 0, 21.9867116630318, Lightning, 
1, 216, 1, 21.9867116630318, Rx, 
1, 217, 5, 13.350391523364, Accidental, 
1, 217, 0, 13.350391523364, Lightning, 
1, 218, 5, 16.7298936607272, Accidental, 
1, 218, 0, 16.7298936607272, Lightning, 
1, 218, 1, 16.7298936607272, Rx, 
1, 219, 4, 17.2254491529433, Accidental, 
1, 219, 0, 17.2254491529433, Lightning, 
1, 219, 1, 17.2254491529433, Rx, 
1, 220, 5, 18.8815396132367, Accidental, 
1, 220, 0, 18.8815396132367, Lightning, 
1, 220, 1, 18.8815396132367, Rx, 
1, 221, 5, 18.9423508429638, Accidental, 
1, 221, 0, 18.9423508429638, Lightning, 
1, 221, 1, 18.9423508429638, Rx, 
1, 222, 4, 18.1545218659052, Accidental, 
1, 222, 1, 18.1545218659052, Rx, 
1, 223, 5, 13.5871723579455, Accidental, 
1, 223, 0, 13.5871723579455, Lightning, 
1, 224, 5, 12.9977430769436, Accidental, 
1, 224, 0, 12.9977430769436, Lightning, 
1, 225, 5, 15.5742993502576, Accidental, 
1, 225, 0, 15.5742993502576, Lightning, 
1, 225, 1, 15.5742993502576, Rx, 
1, 226, 5, 14.9618876338639, Accidental, 
1, 226, 0, 14.9618876338639, Lightning, 
1, 227, 5, 18.9669618757581, Accidental, 
1, 227, 1, 18.9669618757581, Rx, 
1, 228, 5, 19.2877106877816, Accidental, 
1, 228, 0, 19.2877106877816, Lightning, 
1, 228, 1, 19.2877106877816, Rx, 
1, 229, 5, 17.812608261004, Accidental, 
1, 229, 1, 17.812608261004, Rx, 
1, 230, 4, 18.1791631392829, Accidental, 
