"","FRI","mean","ID","Model","rep"
"252",2,1065.80577801063,"XeriredOaks","IPSL-CM5A-MR",2
"253",3,1207.18579781074,"XeriredOaks","IPSL-CM5A-MR",2
"254",4,NA,"XeriredOaks","IPSL-CM5A-MR",2
"255",5,1247.60860507373,"XeriredOaks","IPSL-CM5A-MR",2
"256",1,27.2348128451626,"XeriHwd","IPSL-CM5A-MR",2
"257",2,37.3931966170197,"XeriHwd","IPSL-CM5A-MR",2
"258",3,42.0479134755482,"XeriHwd","IPSL-CM5A-MR",2
"259",4,NA,"XeriHwd","IPSL-CM5A-MR",2
"260",5,46.0627840603878,"XeriHwd","IPSL-CM5A-MR",2
"261",1,503.537942319493,"WhitePine","IPSL-CM5A-MR",2
"262",2,558.059931891326,"WhitePine","IPSL-CM5A-MR",2
"263",3,615.088541861247,"WhitePine","IPSL-CM5A-MR",2
"264",4,NA,"WhitePine","IPSL-CM5A-MR",2
"265",5,723.078301406464,"WhitePine","IPSL-CM5A-MR",2
"266",1,726.258948660258,"Maples","IPSL-CM5A-MR",2
"267",2,1060.16673527431,"Maples","IPSL-CM5A-MR",2
"268",3,1367.89965255725,"Maples","IPSL-CM5A-MR",2
"269",4,NA,"Maples","IPSL-CM5A-MR",2
"270",5,1632.01812848288,"Maples","IPSL-CM5A-MR",2
"271",1,2421.0345673962,"MesicHard","IPSL-CM5A-MR",2
"272",2,3176.43290172891,"MesicHard","IPSL-CM5A-MR",2
"273",3,3665.66776254343,"MesicHard","IPSL-CM5A-MR",2
"274",4,NA,"MesicHard","IPSL-CM5A-MR",2
"275",5,3970.06228892532,"MesicHard","IPSL-CM5A-MR",2
"276",1,0.298015954182859,"Hemlock","IPSL-CM5A-MR",2
"277",2,0.627759898211212,"Hemlock","IPSL-CM5A-MR",2
"278",3,1.04896887959054,"Hemlock","IPSL-CM5A-MR",2
"279",4,NA,"Hemlock","IPSL-CM5A-MR",2
"280",5,1.39247861810606,"Hemlock","IPSL-CM5A-MR",2
"281",1,33.6262975778547,"Yellowpines","MRI-CGCM3",2
"282",2,50.9449464524766,"Yellowpines","MRI-CGCM3",2
"283",3,55.635678906218,"Yellowpines","MRI-CGCM3",2
"284",4,NA,"Yellowpines","MRI-CGCM3",2
"285",5,67.1486629752059,"Yellowpines","MRI-CGCM3",2
"286",1,3796.27335640138,"Whiteoaks","MRI-CGCM3",2
"287",2,5007.67921686747,"Whiteoaks","MRI-CGCM3",2
"288",3,5526.12773070258,"Whiteoaks","MRI-CGCM3",2
"289",4,NA,"Whiteoaks","MRI-CGCM3",2
