Time, Species, ClimateRegion, NumberSitesChecked, AvgTempMult, AvgMinJanTempMult, AvgSoilMoistureMult, AvgProbEst
10,PinuPung,eco4,75,0.000,1.000,0.985,0.000
10,PinuPung,eco3,2506,0.000,1.000,0.961,0.000
10,PinuPung,eco2,1605,0.000,1.000,0.959,0.000
10,PinuPung,eco1,532,0.000,1.000,0.871,0.000
10,FrasFirr,eco4,89476,0.000,1.000,0.793,0.000
10,FrasFirr,eco3,210591,0.000,1.000,0.776,0.000
10,FrasFirr,eco2,118096,0.000,1.000,0.796,0.000
10,FrasFirr,eco1,33776,0.000,1.000,0.663,0.000
10,PiceRube,eco4,5019,0.000,1.000,0.978,0.000
10,PiceRube,eco3,21550,0.000,1.000,0.967,0.000
10,PiceRube,eco2,12858,0.000,1.000,0.967,0.000
10,PiceRube,eco1,4804,0.000,1.000,0.898,0.000
10,PinuEnch,eco4,36,0.319,1.000,0.993,0.319
10,PinuEnch,eco3,1182,0.407,1.000,0.963,0.403
10,PinuEnch,eco2,639,0.603,1.000,0.964,0.598
10,PinuEnch,eco1,317,0.000,1.000,0.879,0.000
20,CaryOvat,eco4,97,0.706,1.000,0.977,0.695
20,CaryOvat,eco3,1407,0.748,1.000,0.962,0.727
20,CaryOvat,eco2,849,0.827,1.000,0.959,0.798
20,CaryOvat,eco1,479,0.093,1.000,0.824,0.086
20,CaryAlba,eco4,104,0.738,1.000,0.997,0.738
20,CaryAlba,eco3,1354,0.780,1.000,0.963,0.759
20,CaryAlba,eco2,841,0.858,1.000,0.961,0.829
20,CaryAlba,eco1,490,0.099,1.000,0.842,0.094
20,CornFlor,eco4,4721,0.892,1.000,0.980,0.877
20,CornFlor,eco3,15498,0.915,1.000,0.979,0.899
20,CornFlor,eco2,8946,0.956,1.000,0.967,0.926
20,CornFlor,eco1,3222,0.490,1.000,0.875,0.474
20,FraxPenn,eco4,93,0.801,1.000,0.989,0.793
20,FraxPenn,eco3,1416,0.828,1.000,0.950,0.798
20,FraxPenn,eco2,824,0.879,1.000,0.937,0.829
20,FraxPenn,eco1,511,0.417,1.000,0.762,0.345
20,FraxAmer,eco4,4907,0.837,1.000,0.982,0.826
20,FraxAmer,eco3,15447,0.863,1.000,0.981,0.851
20,FraxAmer,eco2,9005,0.911,1.000,0.974,0.891
20,FraxAmer,eco1,3248,0.444,1.000,0.890,0.431
20,FaguGran,eco4,4738,0.680,1.000,0.979,0.674
20,FaguGran,eco3,15404,0.719,1.000,0.981,0.712
20,FaguGran,eco2,9121,0.796,1.000,0.973,0.781
20,FaguGran,eco1,3197,0.118,1.000,0.888,0.115
20,JuglNigr,eco4,1,0.000,1.000,1.000,0.000
20,JuglNigr,eco3,47,0.036,1.000,0.778,0.029
20,JuglNigr,eco2,44,0.264,1.000,0.877,0.240
20,JuglNigr,eco1,73,0.000,1.000,0.770,0.000
20,HaleDipt,eco4,4815,0.994,1.000,0.984,0.979
20,HaleDipt,eco3,15310,0.998,1.000,0.982,0.980
20,HaleDipt,eco2,8917,1.000,1.000,0.975,0.975
20,HaleDipt,eco1,3162,0.851,1.000,0.896,0.801
20,IlexOpac,eco4,4780,0.994,1.000,0.982,0.977
20,IlexOpac,eco3,15535,0.998,1.000,0.980,0.978
20,IlexOpac,eco2,8975,1.000,1.000,0.974,0.974
20,IlexOpac,eco1,3215,0.851,1.000,0.891,0.797
20,LiriTuli,eco4,25,0.993,1.000,0.987,0.981
20,LiriTuli,eco3,462,0.999,1.000,0.963,0.962
20,LiriTuli,eco2,312,0.994,1.000,0.965,0.960
20,LiriTuli,eco1,227,0.633,1.000,0.859,0.587
20,LiquStyr,eco4,19,0.968,1.000,0.999,0.968
20,LiquStyr,eco3,477,0.982,1.000,0.966,0.951
20,LiquStyr,eco2,355,0.999,1.000,0.963,0.962
20,LiquStyr,eco1,237,0.578,1.000,0.874,0.547
20,MagnAcum,eco4,90,0.933,1.000,0.995,0.930
20,MagnAcum,eco3,1368,0.953,1.000,0.956,0.915
20,MagnAcum,eco2,818,0.984,1.000,0.946,0.932
20,MagnAcum,eco1,495,0.533,1.000,0.792,0.455
20,MagnMacr,eco4,92,0.933,1.000,0.974,0.910
20,MagnMacr,eco3,1414,0.953,1.000,0.960,0.919
20,MagnMacr,eco2,842,0.984,1.000,0.953,0.939
20,MagnMacr,eco1,494,0.533,1.000,0.800,0.460
20,NyssSylv,eco4,4789,0.994,1.000,0.986,0.980
20,NyssSylv,eco3,15438,0.998,1.000,0.981,0.980
20,NyssSylv,eco2,8985,1.000,1.000,0.975,0.974
20,NyssSylv,eco1,3247,0.851,1.000,0.890,0.797
20,OxydArbo,eco4,4678,0.994,1.000,0.982,0.976
20,OxydArbo,eco3,15384,0.998,1.000,0.981,0.979
20,OxydArbo,eco2,8900,1.000,1.000,0.976,0.975
20,OxydArbo,eco1,3197,0.851,1.000,0.894,0.800
20,PrunSero,eco4,22,0.916,1.000,0.986,0.906
20,PrunSero,eco3,474,0.937,1.000,0.965,0.910
